Date      ;APF NO    ;APF Name                                                                                            ;No.of Bales;Qty Sold      ;Avg Price     
13-04-2022;23;Ongole - II                                                                                         ;385;49559.2;172.14
18-04-2022;23;Ongole - II                                                                                         ;276;36536.7;168.6
19-04-2022;23;Ongole - II                                                                                         ;416;54067.2;164.23
20-04-2022;23;Ongole - II                                                                                         ;529;69797.4;164.19
21-04-2022;23;Ongole - II                                                                                         ;551;72864.3;164.46
22-04-2022;23;Ongole - II                                                                                         ;473;63017.2;159
23-04-2022;23;Ongole - II                                                                                         ;377;50121.9;164.96
25-04-2022;23;Ongole - II                                                                                         ;774;100328.3;160.64
26-04-2022;23;Ongole - II                                                                                         ;769;101348.3;159.76
27-04-2022;23;Ongole - II                                                                                         ;905;118404.8;158.09
28-04-2022;23;Ongole - II                                                                                         ;866;106346.5;161.55
29-04-2022;23;Ongole - II                                                                                         ;969;123377;157.92
30-04-2022;23;Ongole - II                                                                                         ;813;104285;159.1
02-05-2022;23;Ongole - II                                                                                         ;1019;128742.8;153.46
04-05-2022;23;Ongole - II                                                                                         ;1099;139316.9;154.22
05-05-2022;23;Ongole - II                                                                                         ;841;108169.2;155.19
06-05-2022;23;Ongole - II                                                                                         ;1002;124631.5;150.8
07-05-2022;23;Ongole - II                                                                                         ;1067;136822.5;161
09-05-2022;23;Ongole - II                                                                                         ;953;119998.7;158.1
10-05-2022;23;Ongole - II                                                                                         ;964;113781.4;157.95
12-05-2022;23;Ongole - II                                                                                         ;1019;127631.6;161.06
13-05-2022;23;Ongole - II                                                                                         ;377;45653.6;156.84
14-05-2022;23;Ongole - II                                                                                         ;554;67942.6;161.35
17-05-2022;23;Ongole - II                                                                                         ;538;66888.3;157.37
18-05-2022;23;Ongole - II                                                                                         ;678;82607.4;162.06
19-05-2022;23;Ongole - II                                                                                         ;590;71506.8;170.67
20-05-2022;23;Ongole - II                                                                                         ;681;85697;175.29
21-05-2022;23;Ongole - II                                                                                         ;631;76316.1;176.76
23-05-2022;23;Ongole - II                                                                                         ;1026;123860;167.36
24-05-2022;23;Ongole - II                                                                                         ;585;68349.2;165.28
25-05-2022;23;Ongole - II                                                                                         ;488;55068.1;166.44
26-05-2022;23;Ongole - II                                                                                         ;522;57789.5;167.39
27-05-2022;23;Ongole - II                                                                                         ;621;73873.2;167.83
28-05-2022;23;Ongole - II                                                                                         ;370;44851.3;169.1
30-05-2022;23;Ongole - II                                                                                         ;649;75879.8;166.45
31-05-2022;23;Ongole - II                                                                                         ;506;61032;167.53
01-06-2022;23;Ongole - II                                                                                         ;427;48665.4;167.31
02-06-2022;23;Ongole - II                                                                                         ;550;58852.8;159.68
28-03-2022;24;Tangutur - I                                                                                        ;26;3546.2;185
29-03-2022;24;Tangutur - I                                                                                        ;206;26847.7;183.07
30-03-2022;24;Tangutur - I                                                                                        ;471;61367.5;182.33
31-03-2022;24;Tangutur - I                                                                                        ;507;64371.7;183.1
01-04-2022;24;Tangutur - I                                                                                        ;461;60363.1;182.73
04-04-2022;24;Tangutur - I                                                                                        ;664;86330;184.04
05-04-2022;24;Tangutur - I                                                                                        ;511;66176.5;183.22
06-04-2022;24;Tangutur - I                                                                                        ;679;89594.8;183.35
07-04-2022;24;Tangutur - I                                                                                        ;926;120589.9;184.24
08-04-2022;24;Tangutur - I                                                                                        ;633;85145;183.22
09-04-2022;24;Tangutur - I                                                                                        ;839;107966.4;184.67
11-04-2022;24;Tangutur - I                                                                                        ;635;79612.1;183.2
12-04-2022;24;Tangutur - I                                                                                        ;786;99942.4;183.98
13-04-2022;24;Tangutur - I                                                                                        ;829;111679.7;183.75
18-04-2022;24;Tangutur - I                                                                                        ;789;103619.9;181.53
19-04-2022;24;Tangutur - I                                                                                        ;570;73225.1;180.96
20-04-2022;24;Tangutur - I                                                                                        ;705;92404.1;173.61
21-04-2022;24;Tangutur - I                                                                                        ;819;107703.4;181.34
22-04-2022;24;Tangutur - I                                                                                        ;820;106717.9;169.24
23-04-2022;24;Tangutur - I                                                                                        ;871;116347.2;176.69
25-04-2022;24;Tangutur - I                                                                                        ;1005;130770.2;169.37
26-04-2022;24;Tangutur - I                                                                                        ;895;119937.7;171.73
27-04-2022;24;Tangutur - I                                                                                        ;869;113503.4;174.35
28-04-2022;24;Tangutur - I                                                                                        ;947;119416.4;170.21
29-04-2022;24;Tangutur - I                                                                                        ;1044;132945.9;168.53
30-04-2022;24;Tangutur - I                                                                                        ;1036;136191.3;163.12
02-05-2022;24;Tangutur - I                                                                                        ;1151;144711.2;163.95
04-05-2022;24;Tangutur - I                                                                                        ;1000;121685;154.75
05-05-2022;24;Tangutur - I                                                                                        ;937;115719.1;160.27
06-05-2022;24;Tangutur - I                                                                                        ;1018;131121.8;165.12
07-05-2022;24;Tangutur - I                                                                                        ;1078;136864.8;164.19
09-05-2022;24;Tangutur - I                                                                                        ;1053;132571.8;164.75
10-05-2022;24;Tangutur - I                                                                                        ;1255;152821.5;161.84
12-05-2022;24;Tangutur - I                                                                                        ;1025;128913.9;161.51
13-05-2022;24;Tangutur - I                                                                                        ;1023;120750.7;157.11
14-05-2022;24;Tangutur - I                                                                                        ;1131;139879.2;160.73
17-05-2022;24;Tangutur - I                                                                                        ;1209;147423.2;163.05
18-05-2022;24;Tangutur - I                                                                                        ;1096;135883.5;164.5
19-05-2022;24;Tangutur - I                                                                                        ;1058;128670.9;170.43
20-05-2022;24;Tangutur - I                                                                                        ;757;88802.3;170.22
21-05-2022;24;Tangutur - I                                                                                        ;769;92009.3;172.88
23-05-2022;24;Tangutur - I                                                                                        ;808;97843.2;173.63
24-05-2022;24;Tangutur - I                                                                                        ;759;91422.2;170.23
25-05-2022;24;Tangutur - I                                                                                        ;782;93055.4;169.64
26-05-2022;24;Tangutur - I                                                                                        ;928;112169.1;176.42
27-05-2022;24;Tangutur - I                                                                                        ;817;96916;170.53
28-05-2022;24;Tangutur - I                                                                                        ;855;102272.8;171.11
30-05-2022;24;Tangutur - I                                                                                        ;744;85352.5;168.93
31-05-2022;24;Tangutur - I                                                                                        ;868;99252;170.83
01-06-2022;24;Tangutur - I                                                                                        ;850;103730.1;172.38
02-06-2022;24;Tangutur - I                                                                                        ;1031;119354;171.51
14-03-2022;25;Kondepi                                                                                             ;17;2231.8;185
15-03-2022;25;Kondepi                                                                                             ;36;4806.7;184.31
16-03-2022;25;Kondepi                                                                                             ;277;35453.7;182.72
17-03-2022;25;Kondepi                                                                                             ;377;47288;182.02
18-03-2022;25;Kondepi                                                                                             ;488;63132.2;182.75
19-03-2022;25;Kondepi                                                                                             ;492;61777.7;183.43
21-03-2022;25;Kondepi                                                                                             ;735;92753.4;183.01
22-03-2022;25;Kondepi                                                                                             ;591;79163.5;182.9
23-03-2022;25;Kondepi                                                                                             ;536;70363.8;182.82
24-03-2022;25;Kondepi                                                                                             ;671;84824.9;183.74
25-03-2022;25;Kondepi                                                                                             ;739;97062;183.82
26-03-2022;25;Kondepi                                                                                             ;636;82665.9;183.09
28-03-2022;25;Kondepi                                                                                             ;920;119825.2;184.07
29-03-2022;25;Kondepi                                                                                             ;914;117010.4;184.75
30-03-2022;25;Kondepi                                                                                             ;893;115660.7;183.95
31-03-2022;25;Kondepi                                                                                             ;913;120379.8;184.07
01-04-2022;25;Kondepi                                                                                             ;566;76191.5;182.02
04-04-2022;25;Kondepi                                                                                             ;799;104909.6;183.7
05-04-2022;25;Kondepi                                                                                             ;740;95816.7;183.27
06-04-2022;25;Kondepi                                                                                             ;790;103255.2;182.74
07-04-2022;25;Kondepi                                                                                             ;773;104722.7;180.56
08-04-2022;25;Kondepi                                                                                             ;623;82031.4;179.31
09-04-2022;25;Kondepi                                                                                             ;865;113266.8;182.47
11-04-2022;25;Kondepi                                                                                             ;997;132134.6;182.1
12-04-2022;25;Kondepi                                                                                             ;759;101148.9;180.83
13-04-2022;25;Kondepi                                                                                             ;913;119052.1;181.32
18-04-2022;25;Kondepi                                                                                             ;894;117828.2;181.19
19-04-2022;25;Kondepi                                                                                             ;723;95399.3;181.67
20-04-2022;25;Kondepi                                                                                             ;658;88128.5;180.55
21-04-2022;25;Kondepi                                                                                             ;771;100055.2;167.36
22-04-2022;25;Kondepi                                                                                             ;750;95794.1;163.81
23-04-2022;25;Kondepi                                                                                             ;793;99540.6;164.51
25-04-2022;25;Kondepi                                                                                             ;796;100791.2;169.28
26-04-2022;25;Kondepi                                                                                             ;945;122390.6;172.96
27-04-2022;25;Kondepi                                                                                             ;772;99027.5;164.68
28-04-2022;25;Kondepi                                                                                             ;836;107184.6;162.14
29-04-2022;25;Kondepi                                                                                             ;939;121685.2;165.18
30-04-2022;25;Kondepi                                                                                             ;821;105444;157.9
02-05-2022;25;Kondepi                                                                                             ;1014;128077.1;162.33
04-05-2022;25;Kondepi                                                                                             ;836;105703.9;157.82
05-05-2022;25;Kondepi                                                                                             ;893;116027.4;161.38
06-05-2022;25;Kondepi                                                                                             ;907;114961;161.75
07-05-2022;25;Kondepi                                                                                             ;986;120271.2;162.51
09-05-2022;25;Kondepi                                                                                             ;916;110264;160.46
10-05-2022;25;Kondepi                                                                                             ;768;89697.7;164.01
12-05-2022;25;Kondepi                                                                                             ;910;108625.5;162.07
13-05-2022;25;Kondepi                                                                                             ;1035;126919.5;163.58
14-05-2022;25;Kondepi                                                                                             ;793;96903;161.38
17-05-2022;25;Kondepi                                                                                             ;973;120721.6;160.44
18-05-2022;25;Kondepi                                                                                             ;1083;136316.1;164.83
19-05-2022;25;Kondepi                                                                                             ;806;100671.9;170.88
20-05-2022;25;Kondepi                                                                                             ;1054;128489.4;172.41
21-05-2022;25;Kondepi                                                                                             ;995;118102.9;178.46
23-05-2022;25;Kondepi                                                                                             ;950;115003.9;173.14
24-05-2022;25;Kondepi                                                                                             ;1059;116101.4;163.88
25-05-2022;25;Kondepi                                                                                             ;714;83881.3;173.28
26-05-2022;25;Kondepi                                                                                             ;649;75879.4;171.16
27-05-2022;25;Kondepi                                                                                             ;368;41867.6;163.11
28-05-2022;25;Kondepi                                                                                             ;703;82291.6;165.75
30-05-2022;25;Kondepi                                                                                             ;817;97420.9;163.51
31-05-2022;25;Kondepi                                                                                             ;611;70656.2;168.99
01-06-2022;25;Kondepi                                                                                             ;817;98135.9;175.62
02-06-2022;25;Kondepi                                                                                             ;893;107778;171.45
14-03-2022;26;Kandukur - I                                                                                        ;18;2504.4;185
15-03-2022;26;Kandukur - I                                                                                        ;18;2506.2;185
16-03-2022;26;Kandukur - I                                                                                        ;82;10648.7;184.37
17-03-2022;26;Kandukur - I                                                                                        ;181;23284;184.01
18-03-2022;26;Kandukur - I                                                                                        ;341;42289.5;184.42
19-03-2022;26;Kandukur - I                                                                                        ;337;43836.6;184.66
21-03-2022;26;Kandukur - I                                                                                        ;574;74759.6;184.73
22-03-2022;26;Kandukur - I                                                                                        ;484;61118.8;184.89
23-03-2022;26;Kandukur - I                                                                                        ;618;82678.5;184.72
24-03-2022;26;Kandukur - I                                                                                        ;675;85507.4;184.57
